,id,proper,ra,dec,spect,hip,hd,hr,gl,bf,con,mag,dist,lum,rasc,dist_ly
105,76835,Unukalhai,15.737798,6.425627,K2III,77070,140573,5854,Gl 596.2,24Alp Ser,Ser,2.63,22.6757,39.73745051,236.06697,73.95815609
106,8884,Sheratan,1.910668,20.808035,A5V...,8903,11636,553,Gl 80,6Bet Ari,Ari,2.64,17.9856,24.77422058,28.66002,58.66111354
107,28309,,5.995351,37.212585,A0p Si,28380,40312,2095,,37The Aur,Aur,2.65,50.7614,195.523967,89.930265,165.5613518
108,61166,Kraz,12.573121,-23.396759,G5II,61359,109379,4786,,9Bet Crv,Crv,2.65,44.6628,151.3561248,188.596815,145.670402
109,26569,Phakt,5.660817,-34.074108,B7IV,26634,37795,1956,,Alp Col,Col,2.65,80.1282,487.0796665,84.912255,261.342932
110,6672,Ruchbah,1.430216,60.235283,A5Vv SB,6686,8538,403,,37Del Cas,Cas,2.66,30.4785,69.82324041,21.45324,99.40745646
111,67711,Mufrid,13.911411,18.397717,G0IV,67927,121370,5235,Gl 534,8Eta Boo,Boo,2.68,11.396,9.585173977,208.671165,37.16873776
112,73046,,14.975537,-43.13396,B2III,73273,132058,5571,,Bet Lup,Lup,2.68,117.3709,1016.7168,224.633055,382.8122326
113,52575,,10.779488,-49.420255,G5III SB,52727,93497,4216,,Mu  Vel,Vel,2.69,35.9195,94.36262203,161.69232,117.1536044
114,61392,,12.619739,-69.135564,B2IV-V,61585,109668,4798,,Alp Mus,Mus,2.69,96.7118,683.5967668,189.296085,315.4313384
115,22961,Hassaleh,4.949894,33.16609,K3IIvar,23015,31398,1577,,3Iot Aur,Aur,2.69,151.2859,1673.400907,74.24841,493.42804
116,85436,,17.512732,-37.295811,B2IV,85696,158408,6508,,34Ups Sco,Sco,2.7,176.6784,2261.517746,262.69098,576.2472023
117,35169,,7.285711,-37.09747,K3Ib,35264,56855,2773,,Pi  Pup,Pup,2.71,247.5248,4397.440784,109.285665,807.3169867
118,89653,Kaus Meridionalis,18.3499,-29.828103,K3III,89931,168454,6859,,19Del Sgr,Sgr,2.72,106.6098,808.3510374,275.2485,347.7142593
119,96970,Tarazed,19.770994,10.613261,K3II,97278,186791,7525,,50Gam Aql,Aql,2.72,121.0654,1042.317429,296.56491,394.862066
120,80089,,16.39986,61.514213,G8III,80331,148387,6132,Gl 624.1A,14Eta Dra,Dra,2.73,28.2326,56.18236281,245.9979,92.08231886
121,79352,,16.239094,-3.694323,M1III,79593,146051,6056,,1Del Oph,Oph,2.73,52.4659,193.9099079,243.58641,171.1206808
122,61748,Porrima,12.694345,-1.449375,F0V+...,61941,110379,4825,Gl 482A,29Gam Vir,Vir,2.74,11.685,9.532350439,190.415175,38.1113286
123,52268,,10.715949,-64.39445,B0Vp,52419,93030,4199,,The Car,Car,2.74,139.6648,1361.444682,160.739235,455.5251251
124,64904,,13.343296,-36.712295,A2V,65109,115892,5028,Gl 508.1,Iot Cen,Cen,2.75,18.0213,22.46984104,200.14944,58.77755123
125,72396,Zubenelgenubi,14.847977,-16.041778,A3IV,72622,130841,5531,Gl 564.1,9Alp2Lib,Lib,2.75,23.2396,37.35940923,222.719655,75.79734978
126,26176,Hatsya,5.590551,-5.909901,O9III,26241,37043,1899,,44Iot Ori,Ori,2.75,714.2857,35285.80258,83.858265,2329.685668
127,86475,Cebalrai,17.724543,4.567303,K2III,86742,161096,6603,,60Bet Oph,Oph,2.76,25.0941,43.17178445,265.868145,81.8459128
128,84086,Rasalgethi,17.244127,14.390333,M5IIvar,84345,156014,6406,,64Alp1Her,Her,2.78,110.2536,818.0879579,258.661905,359.5987316
129,23820,Cursa,5.130829,-5.086446,A3IIIvar,23875,33111,1666,Wo 9175,67Bet Eri,Eri,2.78,27.3973,50.53589948,76.962435,89.35793779
130,80571,Kornephoros,16.503668,21.489613,G8III,80816,148856,6148,,27Bet Her,Her,2.78,42.6621,122.4616199,247.55502,139.1449989
131,59565,,12.252427,-58.748928,B2IV,59747,106490,4656,,Del Cru,Cru,2.79,105.8201,746.7925899,183.786405,345.1386054
132,85410,Rastaban,17.507213,52.301387,G2II,85670,159181,6536,,23Bet Dra,Dra,2.79,116.5501,906.1498022,262.608195,380.1351442
133,76065,,15.585681,-41.166757,B2IV,76297,138690,5776,,Gam Lup,Lup,2.8,129.0323,1099.512067,233.785215,420.8465884
134,81444,,16.688113,31.602726,F9IV,81693,150680,6212,Gl 635A,40Zet Her,Her,2.81,10.7158,7.51622894,250.321695,34.95022465
135,25542,Nihal,5.470756,-20.759441,G5II,25606,36079,1829,,9Bet Lep,Lep,2.81,49.1642,158.1976399,82.06134,160.3519882
136,81020,,16.598043,-28.216016,B0V,81266,149438,6165,,23Tau Sco,Sco,2.82,145.3488,1370.250597,248.970645,474.0638321
137,2016,,0.427916,-77.254247,G2IV,2021,2151,98,Gl 19,Bet Hyi,Hyi,2.82,7.4588,3.607447339,6.41874,24.32732373
138,90217,Kaus Borealis,18.466179,-25.4217,K1IIIb,90496,169916,6913,Gl 713.1,22Lam Sgr,Sgr,2.82,23.9693,37.25632385,276.992685,78.17731011
139,39644,,8.125737,-24.304324,F2mF5IIp,39757,67523,3185,,15Rho Pup,Pup,2.83,19.4818,24.3893373,121.886055,63.54105961
140,77716,,15.919083,-63.430727,F2III,77952,141891,5897,Gl 601A,Bet TrA,TrA,2.83,12.3778,9.84464364,238.786245,40.37093737
141,1065,Algenib,0.220598,15.183596,B2IV,1067,886,39,,88Gam Peg,Peg,2.83,120.048,926.4031007,3.30897,391.5437549
142,85530,,17.530695,-49.876145,B2Vne,85792,158427,6510,,Alp Ara,Ara,2.84,81.9672,427.7598315,262.960425,267.3409408
143,18201,,3.9022,31.883635,B1Ib,18246,24398,1203,,44Zet Per,Per,2.84,230.4147,3382.205567,58.533,751.5113689
144,84999,,17.421665,-55.529884,K3Ib-II,85258,157244,6461,,Bet Ara,Ara,2.84,198.0198,2498.043519,261.324975,645.8534589
145,118485,,7.576827,31.89052,A m,,60178,2890,Gl 278B,66Alp Gem,Gem,2.85,15.8053,15.76158905,113.652405,51.54993427
146,17661,Alcyone,3.79141,24.105137,B7III,17702,23630,1165,,25Eta Tau,Tau,2.85,123.6094,963.8290236,56.87115,403.1594747
147,63405,Vindemiatrix,13.036278,10.95915,G8IIIvar,63608,113226,4932,,47Eps Vir,Vir,2.85,33.6022,71.25248248,195.54417,109.5955914
148,107213,,21.784011,-16.127286,A5mF2 (IV),107556,207098,8322,Gl 837,49Del Cap,Cap,2.85,11.8666,8.887917199,326.760165,38.7036279
149,96858,,19.749574,45.13081,B9.5III,97165,186882,7528,,18Del Cyg,Cyg,2.86,50.5817,159.9558029,296.24361,164.9752495
150,9217,,1.979451,-61.569859,F0V,9236,12311,591,Gl 83,Alp Hyi,Hyi,2.86,22.0119,30.28307694,29.691765,71.79313256
151,30270,,6.382673,22.513586,M3IIIvar,30343,44478,2286,,13Mu  Gem,Gem,2.87,71.0227,312.4640086,95.740095,231.6447974
152,109784,,22.308371,-60.259587,K3III,110130,211416,8502,,Alp Tuc,Tuc,2.87,61.237,232.2736796,334.625565,199.7281497
153,74717,,15.315181,-68.679545,A1V,74946,135382,5671,,Gam TrA,TrA,2.87,56.3698,196.788629,229.727715,183.8534849
154,93846,Albaldah,19.162731,-21.023615,F2II/III,94141,178524,7264,,41Pi  Sgr,Sgr,2.88,156.25,1498.304211,287.440965,509.61875
155,13813,Acamar,2.971023,-40.304672,A4III+...,13847,18622,897,,The1Eri,Eri,2.88,49.4315,149.9684836,44.565345,161.2238031
156,36087,Gomeisa,7.452512,8.289315,B8Vvar,36188,58715,2845,,3Bet CMi,CMi,2.89,49.5786,149.4169957,111.78768,161.7035786
157,78029,,15.980865,-26.114105,B1V + B2V,78265,143018,5944,,6Pi  Sco,Sco,2.89,179.5332,1960.649667,239.712975,585.5583038
158,62925,Cor Caroli,12.933807,38.31838,A0spe...,63125,112413,4915,,12Alp2CVn,CVn,2.89,35.1989,75.37025767,194.007105,114.8033243
159,79870,,16.353143,-25.592796,B1III,80112,147165,6084,,20Sig Sco,Sco,2.9,213.6752,2751.693133,245.297145,696.9144853
160,18485,,3.96423,40.010215,B0.5V,18532,24760,1220,,45Eps Per,Per,2.9,195.6947,2307.80973,59.46345,638.2700057
161,105936,Sadalsuud,21.525982,-5.571172,G0Ib,106278,204867,8232,,22Bet Aqr,Aqr,2.9,164.7446,1635.309652,322.88973,537.3243976
162,14292,,3.079942,53.50644,G8III+...,14328,18925,915,,23Gam Per,Per,2.91,74.5712,332.0473358,46.19913,243.2184431
163,47866,,9.785036,-65.072007,A9,48002,85123,3890,,Ups Car,Car,2.92,440.5286,11481.53621,146.77554,1436.810461
164,111804,Matar,22.716704,30.221245,G2II-III..,112158,215182,8650,,44Eta Peg,Peg,2.93,65.703,253.0463049,340.75056,214.2942767
165,32682,,6.832266,-50.61456,K0III...,32768,50310,2553,,Tau Pup,Pup,2.94,55.8036,180.8006552,102.48399,182.0067896
166,60776,Algorab,12.497739,-16.515432,B9.5V,60965,108767,4757,,7Del Crv,Crv,2.94,26.6312,41.19077849,187.466085,86.85925667
167,108728,Sadalmelik,22.096399,-0.319851,G2Ib,109074,209750,8414,,34Alp Aqr,Aqr,2.95,160.5136,1483.200967,331.445985,523.5247372
168,47772,Ras Elased Australis,9.764188,23.774255,G0II,47908,84441,3873,,17Eps Leo,Leo,2.97,75.643,323.2957534,146.46282,246.7141831
169,18497,Zaurak,3.967157,-13.508515,M1IIIb Ca-1,18543,25025,1231,,34Gam Eri,Eri,2.97,62.3441,219.5836501,59.507355,203.3390228
170,26386,,5.627413,21.142549,B4IIIp,26451,37202,1910,,123Zet Tau,Tau,2.97,136.4256,1050.993427,84.411195,444.9602799
171,88361,Nash,18.096803,-30.424091,K0III,88635,165135,6746,,10Gam2Sgr,Sgr,2.98,29.7,49.38556196,271.452045,96.868332
172,86804,,17.793078,-40.126997,F3Ia,87073,161471,6615,,Iot1Sco,Sco,2.99,591.716,19426.74323,266.89617,1929.917237
173,93452,,19.090169,13.863478,A0Vn,93747,177724,7235,NN 4095A,17Zet Aql,Aql,2.99,25.4582,35.94181463,286.352535,83.03344679
174,64758,,13.315359,-23.171512,G8III,64962,115659,5020,,46Gam Hya,Hya,2.99,41.0341,93.41142557,199.730385,133.8351792
175,54380,,11.161062,44.498487,K1III,54539,96833,4335,,52Psi UMa,UMa,3,44.3066,107.8449963,167.41593,144.5086343
176,82263,,16.864509,-38.04738,B1.5IV + B,82514,151890,6247,,Mu 1Sco,Sco,3,153.6098,1296.582035,252.967635,501.0075793
177,10041,,2.159058,34.987297,A5III,10064,13161,622,,4Bet Tri,Tri,3,38.8954,83.0998041,32.38587,126.8596808
178,107742,,21.898808,-37.364852,B8III,108085,207971,8353,,Gam Gru,Gru,3,64.7249,230.1441817,328.48212,211.1041448
179,74868,,15.345483,71.834016,A3II-III,75097,137422,5735,,13Gam UMi,UMi,3,149.2537,1224.616199,230.182245,486.7998978
